Country,Cases,Deaths,Recovered,Active Cases,Critical Cases
Afghanistan,234174,7996,211080,15098,0
Albania,334863,3605,330233,1025,0
Algeria,272010,6881,183061,82068,0
Andorra,48015,165,0,47850,0
Angola,107327,1937,103419,1971,0
Anguilla,3904,12,0,3892,0
Antigua and Barbuda,9106,146,8954,6,0
Argentina,10128845,130841,9997258,746,0
Armenia,451831,8777,435162,7892,0
Aruba,44224,292,42438,1494,2
Australia,11853144,24414,11820014,8716,3
Austria,6081287,22542,6054934,3811,0
Azerbaijan,835234,10400,824089,745,0
Bahamas,38084,844,36366,874,1
Bahrain,729549,1574,727915,60,0
Bangladesh,2049377,29493,0,2019884,0
Barbados,110578,648,108647,1283,0
Belarus,994037,7118,985592,1327,0
Belgium,4861695,34376,4826798,521,0
Belize,71409,688,0,70721,0
Benin,28036,163,27847,26,0
Bermuda,18860,165,18685,10,0
Bhutan,62697,21,61564,1112,0
Bolivia,1212131,22407,1177145,12579,220
Bosnia,403615,16388,379084,8143,0
Botswana,330638,2801,327049,788,1
Brazil,38743918,711380,36249161,1783377,0
British Virgin Islands,7392,64,0,7328,0
Brunei,343719,225,243601,99893,3
Bulgaria,1339851,38748,1292944,8159,22
Burkina Faso,22114,400,21596,118,0
Burundi,54721,38,53569,1114,0
Cabo Verde,64477,417,63755,305,23
Cambodia,139103,3056,136044,3,0
Cameroon,125379,1974,123280,125,0
Canada,4946090,59034,4881312,5744,99
Caribbean Netherlands,11682,38,10476,1168,0
Cayman Islands,31472,37,8553,22882,1
Central African Republic,15440,113,15200,127,2
Chad,7701,194,4874,2633,0
Channel Islands,101717,228,101321,168,0
Chile,5384853,64497,5252450,67906,7
China,503302,5272,379053,118977,0
Colombia,6400173,143200,6212152,44821,342
Comoros,9109,161,8939,9,0
Congo,25375,386,24006,983,0
Cook Islands,7203,2,7150,51,0
Costa Rica,1238883,9428,0,1229455,0
Croatia,1309728,18687,1258432,32609,0
Cuba,1115251,8530,1106660,61,0
Curaçao,45986,295,44720,971,3
Cyprus,681110,1365,679745,0,0
Czechia,4759041,43517,4715206,318,2
Côte d'Ivoire,88384,835,87497,52,0
DRC,99338,1468,84489,13381,0
Denmark,3183756,8814,3174942,0,0
Diamond Princess,712,13,699,0,0
Djibouti,15690,189,15427,74,0
Dominica,16038,74,15964,0,0
Dominican Republic,675890,4384,671316,190,4
Ecuador,1070188,36043,1034145,0,0
Egypt,516023,24613,442182,49228,122
El Salvador,201855,4230,179410,18215,0
Equatorial Guinea,17229,183,16907,139,5
Eritrea,10189,103,10086,0,0
Estonia,628070,3001,0,625069,0
Ethiopia,501157,7574,488171,5412,0
Falkland Islands (Malvinas),1930,0,1930,0,0
Faroe Islands,34658,28,0,34630,0
Fiji,69117,885,67226,1006,0
Finland,1516117,11958,1503989,170,0
France,40138560,167642,39970918,0,0
French Guiana,98041,420,11254,86367,6
French Polynesia,79254,650,0,78604,0
Gabon,49051,307,48674,70,0
Gambia,12626,372,12189,65,0
Georgia,1861665,17132,0,1844533,0
Germany,38828995,183027,38240600,405368,0
Ghana,171889,1462,170425,2,0
Gibraltar,20550,113,0,20437,0
Greece,6101379,37869,0,6063510,0
Greenland,11971,21,2761,9189,4
Grenada,19693,238,19358,97,4
Guadeloupe,203235,1021,0,202214,0
Guatemala,1291293,20289,1269891,1113,5
Guinea,38572,468,37757,347,0
Guinea-Bissau,9614,177,8929,508,6
Guyana,74137,1300,72013,824,0
Haiti,34667,860,33734,73,0
Holy See (Vatican City State),29,0,29,0,0
Honduras,474590,11165,0,463425,0
Hong Kong,2937609,14924,2916005,6680,0
Hungary,2230232,49048,2152155,29029,0
Iceland,209906,229,0,209677,0
India,45035393,533570,0,44501823,0
Indonesia,6829221,162063,6647104,20054,0
Iran,7627186,146811,0,7480375,0
Iraq,2465545,25375,2439497,673,0
Ireland,1734582,9491,1724921,170,19
Isle of Man,38008,116,0,37892,0
Israel,4841772,12707,4798473,30592,0
Italy,26723249,196487,26361218,165544,22
Jamaica,156869,3756,0,153113,0
Japan,33803572,74694,0,33728878,0
Jordan,1746997,14122,1731007,1868,59
